"","id","lng","lro","asm","afr","alr","meno","store_total","store_av","store_sd","prod_total","prod_av","prod_sd","outdeg_total","outdeg_av","outdeg_sd","indeg_total","indeg_av","indeg_sd"
"16",16,97,0,11,NA,NA,61,417,4.73863636363636,2.06500295389184,117,1.32954545454545,1.88595285779316,344,3.90909090909091,2.6851501537088,314,3.56818181818182,1.96401801701509
"17",17,99,4,11,18,32,42,548,6.08888888888889,3.09637136104394,70,0.777777777777778,1.52711652924151,375,4.16666666666667,2.92701481553085,434,4.82222222222222,2.79878696748936
"18",18,15,1,11,15,15,NA,24,4,3.16227766016838,12,2,2.19089023002066,14,2.33333333333333,1.75119007154183,17,2.83333333333333,2.78687399547713
"19",19,100,0,11,NA,NA,61,409,4.49450549450549,2.13111148033981,82,0.901098901098901,1.66035434675149,296,3.25274725274725,2.26369121664107,304,3.34065934065934,2.00676511508104
"20",20,55,1,11,55,55,NA,234,5.08695652173913,1.90701729825542,96,2.08695652173913,2.02018796657387,215,4.67391304347826,2.21162934232346,174,3.78260869565217,1.95406179224781
"21",21,97,1,11,44,44,54,429,4.875,2.53623170557578,94,1.06818181818182,1.72070190533455,323,3.67045454545455,2.73219035918614,326,3.70454545454545,2.3250712059747
"22",22,35,1,11,35,35,NA,130,5,2.33238075793812,60,2.30769230769231,2.01532589462312,121,4.65384615384615,2.66746782836919,96,3.69230769230769,2.11223541811477
"23",23,99,0,11,NA,NA,61,389,4.32222222222222,1.7470860347973,111,1.23333333333333,1.83014704388669,312,3.46666666666667,2.31846520329213,290,3.22222222222222,1.72735933932146
"24",24,27,1,11,27,27,NA,89,4.94444444444444,2.04284179866653,28,1.55555555555556,2.0065253028182,69,3.83333333333333,2.8127859331777,68,3.77777777777778,2.07380172503816
"25",25,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"26",26,99,12,11,18,61,61,561,6.23333333333333,3.17309617343104,131,1.45555555555556,1.90894471177382,372,4.13333333333333,3.01755165283514,450,5,2.85216259366014
"27",27,96,8,11,18,60,61,496,5.70114942528736,2.99656758110177,125,1.4367816091954,1.88446000793817,349,4.01149425287356,3.2006331236817,390,4.48275862068965,2.8360719189454
"28",28,98,5,11,16,36,46,557,6.25842696629214,3.31843367312064,79,0.887640449438202,1.59856613483339,387,4.34831460674157,2.97375307556685,446,5.01123595505618,2.99049396201938
"29",29,81,0,11,NA,NA,61,408,5.66666666666667,2.20115206710832,92,1.27777777777778,1.83258627544899,335,4.65277777777778,2.62790937214958,314,4.36111111111111,2.03702043906549
"30",30,100,4,11,28,52,61,464,5.0989010989011,2.68350908349888,97,1.06593406593407,1.73078144073837,329,3.61538461538462,2.82358806709647,362,3.97802197802198,2.64145591999741
"31",31,25,1,11,25,25,NA,82,5.125,2.27669350887056,28,1.75,2.04939015319192,68,4.25,2.74469184669852,65,4.0625,2.23513608832512
"32",32,18,1,11,18,18,NA,45,5,3.24037034920393,20,2.22222222222222,2.10818510677892,37,4.11111111111111,3.48010216963685,35,3.88888888888889,2.80376730687679
"33",33,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"34",34,49,1,11,49,49,NA,201,5.025,2.15415519760871,80,2,2.02547873416733,179,4.475,2.78261544557431,148,3.7,2.00256246101249
"35",35,100,2,11,16,18,41,530,5.82417582417582,3.00589571266354,86,0.945054945054945,1.64899051518489,403,4.42857142857143,2.98939926013705,427,4.69230769230769,2.79560093993843
"36",36,15,1,11,15,15,NA,30,5,2.82842712474619,20,3.33333333333333,1.63299316185545,29,4.83333333333333,1.94079021706795,24,4,2.82842712474619
"37",37,56,1,11,56,56,NA,229,4.87234042553191,2.16309984167846,100,2.12765957446809,2.01749975784273,212,4.51063829787234,2.26382074518445,168,3.57446808510638,1.95319894633376
"38",38,26,1,11,26,26,NA,90,5.29411764705882,2.02375597226892,20,1.17647058823529,1.87867287325545,65,3.82352941176471,2.50587544876155,71,4.17647058823529,1.74052054417806
"39",39,97,0,11,NA,NA,61,395,4.48863636363636,2.1063359163926,102,1.15909090909091,1.80603307995546,316,3.59090909090909,2.53543332638823,301,3.42045454545455,2.10484712038879
"40",40,17,1,11,17,17,NA,44,5.5,2.07019667802706,8,1,1.8516401995451,28,3.5,2.56347977784662,37,4.625,2.0658792662828
"41",41,96,0,11,NA,NA,61,419,4.81609195402299,2.06594049550829,88,1.01149425287356,1.70835329983572,323,3.71264367816092,2.4155891282821,321,3.68965517241379,1.95478152486253
"42",42,99,0,11,NA,NA,61,401,4.45555555555556,2.12614073075873,100,1.11111111111111,1.76383420737639,308,3.42222222222222,2.63501818759166,297,3.3,1.9456087115417
"43",43,18,1,11,18,18,NA,43,4.77777777777778,2.72845092395748,20,2.22222222222222,2.10818510677892,35,3.88888888888889,2.89155859548291,33,3.66666666666667,2.5
"44",44,17,1,11,17,17,NA,45,5.625,2.92464894108189,12,1.5,2.07019667802706,31,3.875,2.16712449375401,36,4.5,2.82842712474619
"45",45,14,1,11,14,14,NA,27,5.4,2.88097205817759,12,2.4,2.19089023002066,21,4.2,2.94957624075052,23,4.6,2.70185121722126
"46",46,11,0,11,NA,NA,NA,1,0.5,0.707106781186548,0,0,0,0,0,0,1,0.5,0.707106781186548
"47",47,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"48",48,101,3,11,28,39,49,496,5.45054945054945,3.05964317550533,98,1.07692307692308,1.72710914041527,374,4.10989010989011,3.24020078064633,397,4.36263736263736,2.83045533642158
"49",49,96,2,11,36,43,53,491,5.64367816091954,2.57888118653903,95,1.09195402298851,1.7628741325358,368,4.22988505747126,2.89225569580049,379,4.35632183908046,2.38199160121073
"50",50,98,2,11,29,39,49,525,5.89887640449438,2.92343564935406,86,0.966292134831461,1.66138932962642,394,4.42696629213483,2.9150379712537,416,4.67415730337079,2.60146497582209
"51",51,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"52",52,99,1,11,27,27,41,536,5.95555555555556,3.31123762839672,92,1.02222222222222,1.67585482314688,415,4.61111111111111,3.3643686301668,422,4.68888888888889,3.11446225792751
"53",53,98,0,11,NA,NA,61,406,4.56179775280899,1.99405398041605,90,1.01123595505618,1.72873036715646,311,3.49438202247191,2.29190073710971,309,3.47191011235955,1.8955083729249
"54",54,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"55",55,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"56",56,95,2,11,23,24,41,491,5.7093023255814,2.73481380835103,80,0.930232558139535,1.65771421417224,364,4.23255813953488,2.72104832135856,389,4.52325581395349,2.57008465956255
"57",57,98,1,11,48,48,58,464,5.21348314606742,2.46093067258728,119,1.33707865168539,1.83367378520875,377,4.23595505617978,2.75525313104602,356,4,2.28632297090169
"58",58,100,0,11,NA,NA,61,438,4.81318681318681,2.01611335611693,108,1.18681318681319,1.80069176776339,356,3.91208791208791,2.67352597663482,338,3.71428571428571,1.87548935413143
"59",59,97,0,11,NA,NA,61,389,4.42045454545455,1.81134097089771,80,0.909090909090909,1.64447080288025,286,3.25,2.55176296957095,293,3.32954545454545,1.72687739522527
"60",60,19,1,11,19,19,NA,57,5.7,2.71006354989038,24,2.4,2.06559111797729,50,5,3.29983164553722,45,4.5,2.67706306736817
"61",61,96,0,11,NA,NA,61,409,4.70114942528736,2.02378268049649,89,1.02298850574713,1.74527276134542,306,3.51724137931034,2.43454818388612,303,3.48275862068966,1.873077736908
"62",62,23,1,11,23,23,NA,70,5,3.18651002726277,28,2,2.07549808665108,57,4.07142857142857,2.75860292718798,52,3.71428571428571,2.78536205155483
"63",63,17,1,11,17,17,NA,36,4.5,2.77746029931765,12,1.5,2.07019667802706,24,3,2.1380899352994,29,3.625,2.66926956300783
"64",64,15,1,11,15,15,NA,30,5,2.68328157299975,20,3.33333333333333,1.63299316185545,29,4.83333333333333,1.16904519445001,24,4,2.68328157299975
"65",65,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"66",66,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"67",67,25,1,11,25,25,NA,85,5.3125,2.54869247523771,28,1.75,2.04939015319192,67,4.1875,2.92617497767991,64,4,2
"68",68,98,0,11,NA,NA,61,382,4.29213483146067,2.04607299695945,115,1.29213483146067,1.85375691742111,309,3.47191011235955,2.54544998540377,282,3.1685393258427,1.83548330925387
"69",69,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"70",70,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"71",71,95,0,11,NA,NA,61,415,4.82558139534884,1.99524057499851,90,1.04651162790698,1.70747131054486,315,3.66279069767442,2.21550931664657,310,3.6046511627907,1.90528101844162
"72",72,18,1,11,18,18,NA,40,4.44444444444444,2.50554939639548,16,1.77777777777778,2.10818510677892,26,2.88888888888889,1.36422546197874,28,3.11111111111111,1.76383420737639
"73",73,16,1,11,16,16,NA,29,4.14285714285714,3.02371578407382,20,2.85714285714286,1.95180014589707,26,3.71428571428571,2.87020822207993,22,3.14285714285714,2.54483604112141
"74",74,97,1,11,60,60,61,446,5.06818181818182,2.42494438635343,80,0.909090909090909,1.60198414069642,328,3.72727272727273,2.76150580581854,345,3.92045454545455,2.14004829094236
"75",75,100,2,11,17,19,41,513,5.63736263736264,2.90025471493064,80,0.879120879120879,1.58349237682033,374,4.10989010989011,2.88848499101961,404,4.43956043956044,2.6965360133524
"76",76,97,3,11,16,36,46,571,6.48863636363636,3.14037232649368,71,0.806818181818182,1.53770955619254,414,4.70454545454545,3.1336479087959,460,5.22727272727273,2.89163388060756
"77",77,99,2,11,18,25,41,524,5.82222222222222,2.93210733657697,81,0.9,1.62874460513736,386,4.28888888888889,2.64041384415672,414,4.6,2.71822810759947
"78",78,20,1,11,20,20,NA,56,5.09090909090909,2.80907619884351,24,2.18181818181818,2.08893187146837,48,4.36363636363636,3.07482445914323,44,4,2.68328157299975
"79",79,15,1,11,15,15,NA,32,5.33333333333333,3.07679486912382,20,3.33333333333333,1.63299316185545,31,5.16666666666667,3.12516666222246,26,4.33333333333333,2.80475786239502
"80",80,99,4,11,17,22,41,538,5.97777777777778,3.08303723651658,63,0.7,1.44913767461894,364,4.04444444444444,2.78806086658009,430,4.77777777777778,2.89430971288619
"81",81,87,0,11,NA,NA,61,339,4.34615384615385,1.77154216386787,84,1.07692307692308,1.78572427569633,263,3.37179487179487,2.38016137376611,256,3.28205128205128,1.73502824481995
"82",82,97,0,11,NA,NA,61,416,4.72727272727273,2.11033185126559,96,1.09090909090909,1.75274080042647,325,3.69318181818182,2.60573176584385,316,3.59090909090909,2.0377831296766
"83",83,96,4,11,17,40,50,521,5.98850574712644,2.74283104836049,67,0.770114942528736,1.50735521828017,354,4.06896551724138,2.69708328008746,413,4.74712643678161,2.41226705492841
"84",84,16,1,11,16,16,NA,35,5,2.58198889747161,20,2.85714285714286,1.95180014589707,31,4.42857142857143,2.50713268211203,27,3.85714285714286,2.26778683805536
"85",85,53,1,11,53,53,NA,223,5.06818181818182,2.05049883066181,80,1.81818181818182,2.01474480203726,192,4.36363636363636,2.74574435276483,165,3.75,1.95442253411601
"86",86,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"87",87,99,3,11,31,42,52,493,5.47777777777778,2.96127735032841,110,1.22222222222222,1.79748749602801,374,4.15555555555556,2.97522017355835,383,4.25555555555556,2.77047479446512
"88",88,15,1,11,15,15,NA,27,4.5,3.01662062579967,12,2,2.19089023002066,19,3.16666666666667,2.48327740429189,22,3.66666666666667,2.80475786239502
"89",89,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"90",90,24,1,11,24,24,NA,75,5,2.42015347801392,16,1.06666666666667,1.83095083286825,50,3.33333333333333,1.83873662631503,58,3.86666666666667,1.95910572407291
"91",91,10,0,10,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"92",92,98,0,11,NA,NA,61,447,5.02247191011236,2.23086575168541,113,1.26966292134831,1.86330623150344,361,4.0561797752809,2.78126667742415,336,3.7752808988764,2.00427275968097
"93",93,18,1,11,18,18,NA,53,5.88888888888889,3.10017920628971,20,2.22222222222222,2.10818510677892,43,4.77777777777778,3.03223423311004,41,4.55555555555556,2.74367960552572
"94",94,96,0,11,NA,NA,61,415,4.77011494252874,2.04996397827279,96,1.10344827586207,1.75892728116686,326,3.74712643678161,2.38316962480056,316,3.63218390804598,1.97728344610723
"95",95,97,4,11,45,60,61,474,5.38636363636364,2.81797113851669,73,0.829545454545455,1.57729282778335,323,3.67045454545455,2.45287347752808,377,4.28409090909091,2.72050056092355
"96",96,24,1,11,24,24,NA,80,5.33333333333333,2.16024689946929,36,2.4,2.02837021134844,70,4.66666666666667,2.22539456105675,58,3.86666666666667,1.80739222823013
"97",97,15,1,11,15,15,NA,31,5.16666666666667,3.12516666222246,16,2.66666666666667,2.06559111797729,25,4.16666666666667,0.983192080250175,24,4,3.09838667696593
"98",98,93,0,11,NA,NA,61,401,4.77380952380952,1.89069497311279,83,0.988095238095238,1.66099148514133,307,3.6547619047619,2.15369700422347,307,3.6547619047619,1.85299528032122
"99",99,21,1,11,21,21,NA,66,5.5,3.1478708533056,24,2,2.08893187146837,52,4.33333333333333,3.47283832917774,49,4.08333333333333,2.74551976643381
"100",100,19,1,11,12,19,NA,279,12.1304347826087,8.03574032243727,33,1.43478260869565,1.92651562427946,211,9.17391304347826,6.32205500186769,228,9.91304347826087,6.9799260446607
"101",101,78,4,11,21,44,54,597,7.55696202531646,5.63356888168533,77,0.974683544303797,1.71699412020784,427,5.40506329113924,4.61746680285089,477,6.0379746835443,4.92102511202666
"102",102,82,0,11,NA,NA,61,453,5.45783132530121,4.78131833238408,99,1.19277108433735,1.77006153486326,363,4.37349397590361,4.47952208735048,355,4.27710843373494,4.52179883537635
"103",103,18,1,11,18,18,NA,277,14.5789473684211,8.89641494257149,4,0.210526315789474,0.917662935482247,196,10.3157894736842,7.67429064097166,229,12.0526315789474,7.91955164422924
"104",104,78,0,11,NA,NA,61,521,6.59493670886076,6.06274666395747,128,1.62025316455696,1.93684780565369,443,5.60759493670886,4.85539013595012,402,5.08860759493671,5.4093695386415
"105",105,79,2,11,16,20,41,571,7.1375,5.17477755896909,86,1.075,1.71939789284623,424,5.3,4.38466834044449,446,5.575,4.38575080534477
"106",106,78,5,11,32,39,49,522,6.60759493670886,4.16461812673293,74,0.936708860759494,1.6356741897997,361,4.56962025316456,3.5253061125634,424,5.36708860759494,3.89666923907004
"107",107,79,0,11,NA,NA,61,461,5.7625,5.24161476230901,121,1.5125,1.90265470769366,382,4.775,4.3834412237448,349,4.3625,4.76071409918483
"108",108,23,1,11,23,23,NA,232,9.66666666666667,5.36224050079869,26,1.08333333333333,1.74247866100506,179,7.45833333333333,5.01284581733827,195,8.125,5.09315397286439
"109",109,76,0,11,NA,NA,61,426,5.53246753246753,4.45617376463738,92,1.19480519480519,1.79940751242239,343,4.45454545454545,4.01820022078966,336,4.36363636363636,4.11002974412688
"110",110,12,1,11,12,12,NA,174,13.3846153846154,2.95912322426935,4,0.307692307692308,1.10940039245046,124,9.53846153846154,3.97104907665856,151,11.6153846153846,3.25418862233639
"111",111,77,0,11,NA,NA,61,418,5.35897435897436,4.22722886409807,113,1.44871794871795,1.88395436496855,344,4.41025641025641,3.74663796453514,317,4.06410256410256,3.88583756733778
"112",112,54,0,11,NA,NA,NA,368,6.69090909090909,5.24536030352584,96,1.74545454545455,2.00201918274546,324,5.89090909090909,4.37447447541153,291,5.29090909090909,4.93540769929386
"113",113,74,0,11,NA,NA,61,417,5.56,5.2690837195136,82,1.09333333333333,1.77195367315848,320,4.26666666666667,4.33506548887013,321,4.28,4.74073776901809
"114",114,17,1,11,17,17,NA,204,11.3333333333333,5.47722557505166,8,0.444444444444444,1.29352333352711,148,8.22222222222222,4.68483856907585,176,9.77777777777778,5.3748384988657
"115",115,24,1,11,24,24,NA,263,10.52,5.86742419351683,31,1.24,1.78605710994918,204,8.16,4.73180726572839,216,8.64,5.54436651025164
"116",116,33,1,11,33,33,NA,323,9.5,6.09644705272396,45,1.32352941176471,1.8864844365676,263,7.73529411764706,4.80724720276056,270,7.94117647058824,5.78368225200493
"117",117,28,1,11,28,28,NA,292,10.0689655172414,7.13608052926794,25,0.862068965517241,1.64151798064724,218,7.51724137931035,5.51375351575606,240,8.27586206896552,6.51863565766936
"118",118,70,0,11,NA,NA,61,386,5.43661971830986,5.09266249299967,109,1.53521126760563,1.9481198695555,322,4.53521126760563,4.36816727150772,292,4.11267605633803,4.69817379650144
"119",119,22,1,12,22,22,NA,231,10.0434782608696,5.57981965226285,22,0.956521739130435,1.6645572949413,176,7.65217391304348,4.55879465381499,195,8.47826086956522,5.22119426618254
"120",120,65,0,11,NA,NA,61,410,6.21212121212121,5.81910686119482,121,1.83333333333333,1.99679229945918,367,5.56060606060606,4.70066701610212,320,4.84848484848485,5.21902562153401
"121",121,67,0,12,NA,NA,61,355,5.22058823529412,5.16545814597021,92,1.35294117647059,1.90650658004942,296,4.35294117647059,4.64489675312966,280,4.11764705882353,5.00008779554175
"122",122,65,2,13,20,28,41,505,7.65151515151515,5.97557187283855,57,0.863636363636364,1.58731862572718,359,5.43939393939394,4.86788151008941,396,6,5.05355929404826
"123",123,26,1,11,26,26,NA,258,9.55555555555556,6.00213637179638,33,1.22222222222222,1.84668795692624,205,7.59259259259259,5.26424265324564,217,8.03703703703704,5.52255153878852
"124",124,27,1,11,27,27,NA,281,10.0357142857143,5.79579760182064,38,1.35714285714286,1.87012151940843,223,7.96428571428571,5.05145481690134,231,8.25,5.58851335164205
"125",125,63,0,11,NA,NA,61,353,5.515625,5.1114319041841,117,1.828125,1.99646264559047,318,4.96875,4.33871003431951,273,4.265625,4.61619711382116
"126",126,59,0,11,NA,NA,NA,337,5.61666666666667,5.61200790879357,88,1.46666666666667,1.94384440566788,288,4.8,4.75073589304054,268,4.46666666666667,5.21882728130472
"127",127,61,0,11,NA,NA,61,337,5.43548387096774,5.14581149980631,108,1.74193548387097,1.99947110933889,299,4.82258064516129,4.22531090542319,261,4.20967741935484,4.88938997426728
"128",128,17,1,11,17,17,NA,193,10.7222222222222,4.83620604284897,13,0.722222222222222,1.5264551613058,142,7.88888888888889,4.52299860047174,165,9.16666666666667,4.71854912895404
"129",129,59,0,11,NA,NA,NA,327,5.45,4.74225505965753,88,1.46666666666667,1.94384440566788,280,4.66666666666667,3.83854963193602,260,4.33333333333333,4.46328398769362
"130",130,60,0,11,NA,NA,60,335,5.49180327868852,4.32289621596321,105,1.72131147540984,1.98436511711751,294,4.81967213114754,3.59401445332519,258,4.22950819672131,4.21265333102923
"131",131,64,0,11,NA,NA,61,331,5.09230769230769,4.59525256692667,97,1.49230769230769,1.93748449125307,278,4.27692307692308,4.1060461985486,254,3.90769230769231,4.19345873401017
"132",132,61,0,11,NA,NA,61,294,4.74193548387097,4.4865390066358,125,2.01612903225806,2.00402820146276,280,4.51612903225806,3.80138859652184,225,3.62903225806452,4.27817132286621
"133",133,38,0,11,NA,NA,NA,277,7.1025641025641,5.59978792735127,48,1.23076923076923,1.87028760047807,222,5.69230769230769,4.47304115406866,221,5.66666666666667,5.29812942826018
